"task_gid","name","assignee_gid","project_name","project_gid","section_name","due_on","start_on","completed","completed_at","routine_rw","priority_rw","importance_rw","kiro_rw","next_action_rw","begin_date_rw","flex_fields"
"1213954957625028","��� Approve: Enhanced Match / LiveRamp ��� Audience Expansion","1212732742544167","ABPS AI - Content","1213917352480610","Intake","","","false","","","","","","","2026-04-04",""
"1213954957645131","��� Approve: AU Paid Search ��� Market Wiki","1212732742544167","ABPS AI - Content","1213917352480610","Intake","","","false","","","","","","","2026-04-04",""
"1213953295002324","��� Approve: OCI Execution Guide","1212732742544167","ABPS AI - Content","1213917352480610","Intake","","","false","","","","","","","2026-04-04",""
"1213925754340958","Stakeholder Communication Guide","1212732742544167","ABPS AI - Content","1213917352480610","Review","","","false","","Wiki","Not urgent","","4/4: Wiki sync. Communication. Stakeholder Communication Guide.","Content synced. Review per audit.","2026-04-04","{""Category_RW"": ""Communication"", ""Audience_RW"": ""Personal"", ""Path_RW"": ""~/shared/artifacts/communication/2026-03-25-stakeholder-comms-guide.md"", ""Frequency_RW"": ""Monthly""}"
"1213925647445346","Q2 2026 Initiative Status & Priorities","1212732742544167","ABPS AI - Content","1213917352480610","Review","","","false","","Wiki","Not urgent","","4/4: Wiki sync. strategy, monthly. Q2 Initiative Status. | pipeline: REVIEW (not yet scored)","Content synced. Review per audit.","2026-04-04","{""Category_RW"": ""Strategy"", ""Audience_RW"": ""Leadership"", ""Path_RW"": ""~/shared/artifacts/strategy/2026-04-04-q2-initiative-status.md"", ""Frequency_RW"": ""Quarterly"", ""Pipeline_RW"": ""Review""}"
"1213925647459466","GenAI Search Traffic ��� What We Know and What It Means for PS","1212732742544167","ABPS AI - Content","1213917352480610","Review","","","false","","Wiki","Not urgent","","4/4: Wiki sync. strategy, one-time. GenAI Search Traffic. | pipeline: REVIEW (not yet scored)","Content synced. Review per audit.","2026-04-04","{""Category_RW"": ""Strategy"", ""Audience_RW"": ""Leadership"", ""Path_RW"": ""~/shared/artifacts/strategy/2026-04-04-genai-search-traffic.md"", ""Frequency_RW"": ""Quarterly"", ""Pipeline_RW"": ""Review""}"
"1213925549385885","Paid Search Testing Approach & Year Ahead","1212732742544167","ABPS AI - Content","1213917352480610","Review","","","false","","Wiki","Not urgent","","4/5: Published FINAL. Eval A: 8.4/10, Eval B: 8.2/10. Full pipeline through kiro-cli agents. V5: appendix-heavy structure, OP1 framing, deduplicated data, trainer voice removed. Second article published.","Content synced. Review per audit.","2026-04-04","{""Category_RW"": ""Testing"", ""Audience_RW"": ""Leadership"", ""Path_RW"": ""~/shared/artifacts/testing/2026-03-25-testing-approach-kate.md"", ""Frequency_RW"": ""Monthly"", ""Pipeline_RW"": ""Published""}"
"1213925516246590","OCI Rollout Playbook ��� From E2E to 100% in Any Market","1212732742544167","ABPS AI - Content","1213917352480610","Review","","","false","","Wiki","Not urgent","","4/4: Published FINAL. Eval A: 8.4/10 PUBLISH. Eval B: 7.8/10. Full pipeline: wiki-writer rewrite ��� v2 revision (narrative over status) ��� dual blind eval ��� wiki-librarian publish. First article through real kiro-cli agent pipeline.","Content synced. Review per audit.","2026-04-04","{""Category_RW"": ""Testing"", ""Audience_RW"": ""Leadership"", ""Path_RW"": ""~/shared/artifacts/testing/2026-03-25-oci-rollout-playbook.md"", ""Frequency_RW"": ""Monthly"", ""Pipeline_RW"": ""Published""}"
"1213954951048994","Ad Copy Testing Framework","1212732742544167","ABPS AI - Content","1213917352480610","Review","","","false","","Wiki","Not urgent","","4/4: Wiki sync. Strategy, monthly. Ad copy testing framework.","Content synced. Review per audit.","2026-04-04","{""Category_RW"": ""Testing"", ""Audience_RW"": ""Leadership"", ""Path_RW"": ""~/shared/artifacts/testing/2026-03-25-ad-copy-testing-framework.md"", ""Frequency_RW"": ""Monthly"", ""Pipeline_RW"": ""Review""}"
"1213925549433825","Email Overlay WW Rollout Plan","1212732742544167","ABPS AI - Content","1213917352480610","Review","","","false","","Wiki","Not urgent","","4/4: Wiki sync. Strategy, monthly. Email overlay WW rollout.","Content synced. Review per audit.","2026-04-04","{""Category_RW"": ""Testing"", ""Audience_RW"": ""Leadership"", ""Path_RW"": ""~/shared/artifacts/testing/2026-03-25-email-overlay-ww-rollout.md"", ""Frequency_RW"": ""Monthly"", ""Pipeline_RW"": ""Review""}"
"1213925549433986","AI Max Test Design ��� US Market","1212732742544167","ABPS AI - Content","1213917352480610","Review","","","false","","Wiki","Not urgent","","4/4: Wiki sync. Strategy, monthly. AI Max US test design.","Content synced. Review per audit.","2026-04-04","{""Category_RW"": ""Testing"", ""Audience_RW"": ""Leadership"", ""Path_RW"": ""~/shared/artifacts/testing/2026-03-25-ai-max-test-design.md"", ""Frequency_RW"": ""Monthly"", ""Pipeline_RW"": ""Review""}"
"1213954951075984","AU NB Testing Proposal ��� MRO/Trades Vertical","1212732742544167","ABPS AI - Content","1213917352480610","Review","","","false","","Wiki","Not urgent","","4/4: Wiki sync. Strategy, monthly. AU NB MRO/Trades test.","Content synced. Review per audit.","2026-04-04","{""Category_RW"": ""Testing"", ""Audience_RW"": ""Leadership"", ""Path_RW"": ""~/shared/artifacts/testing/2026-03-25-au-nb-mro-trades-proposal.md"", ""Frequency_RW"": ""Monthly"", ""Pipeline_RW"": ""Review""}"
"1213954951120691","Project Baloo ��� Shopping Ads for Amazon Business","1212732742544167","ABPS AI - Content","1213917352480610","Review","","","false","","Wiki","Not urgent","","4/4: Wiki sync. Strategy, monthly. Project Baloo overview.","Content synced. Review per audit.","2026-04-04","{""Category_RW"": ""Testing"", ""Audience_RW"": ""Leadership"", ""Path_RW"": ""~/shared/artifacts/testing/2026-04-04-project-baloo-overview.md"", ""Frequency_RW"": ""Monthly"", ""Pipeline_RW"": ""Review""}"
"1213925647915195","Workstream 2: Modern Search","1212732742544167","ABPS AI - Content","1213917352480610","Review","","","false","","Wiki","Not urgent","","4/4: Wiki sync. Strategy. Modern Search Workstream.","Content synced from file. Review for staleness per audit.","2026-04-04","{""Category_RW"": ""Testing"", ""Audience_RW"": ""Leadership"", ""Path_RW"": ""~/shared/artifacts/testing/2026-03-25-workstream-modern-search.md"", ""Frequency_RW"": ""Quarterly"", ""Pipeline_RW"": ""Review""}"
"1213925754103177","Workstream 1: Intelligent Bidding (OCI)","1212732742544167","ABPS AI - Content","1213917352480610","Review","","","false","","Wiki","Not urgent","","4/4: Wiki sync. Strategy. OCI Bidding Workstream.","Content synced from file. Review for staleness per audit.","2026-04-04","{""Category_RW"": ""Testing"", ""Audience_RW"": ""Leadership"", ""Path_RW"": ""~/shared/artifacts/testing/2026-03-25-workstream-oci-bidding.md"", ""Frequency_RW"": ""Quarterly"", ""Pipeline_RW"": ""Review""}"
"1213925733024101","Workstream 3: Audiences","1212732742544167","ABPS AI - Content","1213917352480610","Review","","","false","","Wiki","Not urgent","","4/4: Wiki sync. Strategy. Audiences Workstream.","Content synced from file. Review for staleness per audit.","2026-04-04","{""Category_RW"": ""Testing"", ""Audience_RW"": ""Leadership"", ""Path_RW"": ""~/shared/artifacts/testing/2026-03-25-workstream-audiences-lifecycle.md"", ""Frequency_RW"": ""Quarterly"", ""Pipeline_RW"": ""Review""}"
"1213955491611923","Workstream 4: User Experience","1212732742544167","ABPS AI - Content","1213917352480610","Review","","","false","","Wiki","Not urgent","","4/4: Wiki sync. Strategy. User Experience Workstream.","Content synced from file. Review for staleness per audit.","2026-04-04","{""Category_RW"": ""Testing"", ""Audience_RW"": ""Leadership"", ""Path_RW"": ""~/shared/artifacts/testing/2026-03-25-workstream-user-experience.md"", ""Frequency_RW"": ""Quarterly"", ""Pipeline_RW"": ""Review""}"
"1213955491618264","Workstream 5: Algorithmic Ads","1212732742544167","ABPS AI - Content","1213917352480610","Review","","","false","","Wiki","Not urgent","","4/4: Wiki sync. Strategy. Algorithmic Ads Workstream.","Content synced from file. Review for staleness per audit.","2026-04-04","{""Category_RW"": ""Testing"", ""Audience_RW"": ""Leadership"", ""Path_RW"": ""~/shared/artifacts/testing/2026-03-25-workstream-algorithmic-ads.md"", ""Frequency_RW"": ""Quarterly"", ""Pipeline_RW"": ""Review""}"
"1213955495811354","AB Paid Search Program Wiki","1212732742544167","ABPS AI - Content","1213917352480610","Review","","","false","","Wiki","Not urgent","","4/4: Wiki sync. Reference. AB Paid Search Program Wiki.","Content synced from file. Review for staleness per audit.","2026-04-04","{""Category_RW"": ""Program Details"", ""Audience_RW"": ""Team"", ""Path_RW"": ""~/shared/artifacts/program-details/2026-03-25-ab-paid-search-wiki.md"", ""Frequency_RW"": ""Monthly"", ""Pipeline_RW"": ""Review""}"
