Suggested Negative,Triggered Keyword,Campaign,Ad Group,How It Matched,Impressions,Clicks,Cost,CPC,Keyword Regs,Reason
business cards,[business cards],AU_Generic,Office Supplies_Exact,Exact match,432,24,222.26,9.26,0,High spend on zero-reg keyword
business card printing,[business cards],AU_Generic,Office Supplies_Exact,Exact match (close variant),151,13,114.95,8.84,0,Close variant leakage on zero-reg keyword
amazon business vs personal,[amazon business account vs personal],AU_Brand_Exact,Account_Exact,Exact match (close variant),39,6,113.31,18.89,0,Close variant leakage on zero-reg keyword
dropshipping suppliers australia,"""suppliers companies""",AU_Generic,Suppliers_Enterprises_Phrase,Phrase match (close variant),55,10,103.81,10.38,0,Close variant leakage on zero-reg keyword
bulk buy,[bulk suppliers],AU_Generic,Bulk_Suppliers_Exact,Exact match (close variant),68,12,94.87,7.91,0,Close variant leakage on zero-reg keyword
cleaning supplies,[cleaning buy],AU_Generic_P-V_Janitorial,Purchasing_Exact,Exact match (close variant),263,15,87.54,5.84,0,Close variant leakage on zero-reg keyword
bulk toilet paper,[bulk toilet paper],AU_Generic_P-V_Janitorial,Paper_Bulk_Exact,Exact match,158,17,83.01,4.88,0,High spend on zero-reg keyword
bulk toilet paper,[bulk toilet paper],AU_Generic_P-V_Janitorial,Paper_Bulk_Exact,Exact match,158,17,83.01,4.88,0,High spend on zero-reg keyword
cleaning supplies,[cleaning products],AU_Generic_P-V_Janitorial,Products_Exact,Exact match (close variant),202,15,75.59,5.04,0,Close variant leakage on zero-reg keyword
business cards printing,[business cards],AU_Generic,Office Supplies_Exact,Exact match (close variant),84,7,72.17,10.31,0,Close variant leakage on zero-reg keyword
wholesale,[wholesale],AU_Generic,Wholesale_Exact,Exact match,105,8,68.53,8.57,0,High spend on zero-reg keyword
commercial vacuum cleaner,[professional vacuums],AU_Generic_P-V_Janitorial,Floor-Care_Exact,Exact match (close variant),124,11,63.38,5.76,0,Close variant leakage on zero-reg keyword
bulk canned food,[bulk canned food],AU_Generic_P-V_Food,Food_Bulk_Exact,Exact match,39,10,60.45,6.05,0,High spend on zero-reg keyword
desk organiser,"""desk equipment""",AU_Generic_P-V_Office,Products_Phrase,Phrase match (close variant),218,13,60.42,4.65,0,Close variant leakage on zero-reg keyword
is amazon business worth it,[amazon business account review],AU_Brand_Exact,Account_Exact,Exact match (close variant),62,3,57.99,19.33,0,Close variant leakage on zero-reg keyword
office chairs,"""office furniture""",AU_Generic_P-V_Office,Furniture_Phrase,Phrase match (close variant),167,21,57.95,2.76,0,Close variant leakage on zero-reg keyword
dropshipping suppliers,"""other suppliers""",AU_Generic_P-V_Apparel,Hosiery & Socks_Suppliers_Phrase,Phrase match (close variant),98,11,57.49,5.23,0,Close variant leakage on zero-reg keyword
is amazon business free,[amazon business free],AU_Brand_Exact,Account_Exact,Exact match (close variant),39,4,57.12,14.28,0,Close variant leakage on zero-reg keyword
bulk buying,[buy bulk],AU_Generic,Bulk_Buy_Exact,Exact match (close variant),18,5,53.4,10.68,0,Close variant leakage on zero-reg keyword
wholesale food,[wholesale meals],AU_Generic_P-V_Food,Food_Wholesale_Exact,Exact match (close variant),45,6,51.21,8.54,0,Close variant leakage on zero-reg keyword
office furniture,[office furniture],AU_Generic_P-V_Office,Furniture_Exact,Exact match,193,11,48.37,4.4,0,High spend on zero-reg keyword
business card print,[business cards],AU_Generic,Office Supplies_Exact,Exact match (close variant),25,5,48.07,9.61,0,Close variant leakage on zero-reg keyword
industrial vacuum cleaners,[professional vacuums],AU_Generic_P-V_Janitorial,Floor-Care_Exact,Exact match (close variant),74,7,46.96,6.71,0,Close variant leakage on zero-reg keyword
solubrilho australia,"""cleaning products""",AU_Generic_P-V_Janitorial,Products_Phrase,Phrase match (close variant),71,10,46.63,4.66,0,Close variant leakage on zero-reg keyword
bulk suppliers australia,"""bulk distributor""",AU_Generic,Bulk_Distributors_Phrase,Phrase match (close variant),9,4,46.49,11.62,0,Close variant leakage on zero-reg keyword
