Suggested Negative,Triggered Keyword,Campaign,Ad Group,How It Matched,Impressions,Clicks,Cost,CPC,Keyword Regs,Reason
se puede facturar en amazon,"""se puede facturar en amazon""",MX - Invoice AMZ,Invoice_Phrase,Exact match,101,19,65.3,3.44,0,High spend on zero-reg keyword
silla de escritorio,[sillas oficina],MX - Office,Furniture_Exact,Exact match (close variant),408,35,63.44,1.81,0,Close variant leakage on zero-reg keyword
como facturar en amazon mexico,"""como facturar en amazon mexico""",MX - Invoice AMZ,Invoice_Phrase,Exact match,63,14,54.63,3.9,0,High spend on zero-reg keyword
como facturar amazon,"""como facturar amazon""",MX - Invoice AMZ,Invoice_Phrase,Exact match,55,9,43.73,4.86,0,High spend on zero-reg keyword
máquina de helados para negocio amazon,"""amazon para negocios""",MX - Brand Phrase,Pure_Phrase,Phrase match,33,13,43.25,3.33,0,High spend on zero-reg keyword
trituradora de papel,[trituradora de documentos],MX - Product AMZ,Office_Office Organization_Wholesalers_Exact,Exact match (close variant),298,18,38.81,2.16,0,Close variant leakage on zero-reg keyword
trituradora de papel,[trituradora de documentos],MX - Product AMZ,Office_Office Organization_Wholesalers_Exact,Exact match (close variant),298,18,38.81,2.16,0,Close variant leakage on zero-reg keyword
trituradora de papel,[trituradora de documentos],MX - Product AMZ,Office_Office Organization_Wholesalers_Exact,Exact match (close variant),298,18,38.81,2.16,0,Close variant leakage on zero-reg keyword
abarrotes baratos para negocio,"""compras para empresas""",MX - Generic,Enterprises_Purchasing_Phrase,Phrase match (close variant),28,9,36.46,4.05,0,Close variant leakage on zero-reg keyword
facturacion amazon mexico,"""facturacion amazon mexico""",MX - Invoice AMZ,Invoice_Phrase,Exact match,48,9,32.06,3.56,0,High spend on zero-reg keyword
factura amazon mexico,"""facturar amazon mexico""",MX - Invoice AMZ,Invoice_Phrase,Exact match (close variant),17,6,29.58,4.93,0,Close variant leakage on zero-reg keyword
sillas de oficina,[sillas de oficina],MX - Office,Furniture_Exact,Exact match,202,15,29.3,1.95,0,"Multiple clicks, zero-reg keyword"
papeleria mayoreo,[comercio al por mayor de artículos de papelería],MX - Office,Wholesales_Exact,Exact match (close variant),111,15,29.13,1.94,0,Close variant leakage on zero-reg keyword
proveedores de ropa,[mayoristas de prendas de vestir],MX - Shops,Shops_Wholesalers_Clothing_Exact,Exact match (close variant),156,29,27.6,0.95,0,Close variant leakage on zero-reg keyword
como facturar un pedido de amazon,[factura pedidos amazon],MX - Invoice AMZ,Invoicing_Exact,Exact match (close variant),4,2,27.26,13.63,0,Close variant leakage on zero-reg keyword
trituradora de papel,[trituradora de documentos],MX - Office,Office Organization_Distributors_Exact,Exact match (close variant),161,16,24.73,1.55,0,Close variant leakage on zero-reg keyword
trituradora de papel,[trituradora de documentos],MX - Office,Office Organization_Distributors_Exact,Exact match (close variant),161,16,24.73,1.55,0,Close variant leakage on zero-reg keyword
trituradora de papel,[trituradora de documentos],MX - Office,Office Organization_Distributors_Exact,Exact match (close variant),161,16,24.73,1.55,0,Close variant leakage on zero-reg keyword
trituradora de papel,[trituradora de documentos],MX - Office,Office Organization_Distributors_Exact,Exact match (close variant),161,16,24.73,1.55,0,Close variant leakage on zero-reg keyword
factura de amazon,"""factura de amazon""",MX - Invoice AMZ,Invoice_Phrase,Exact match,19,4,23.7,5.93,0,Review — zero-reg keyword spend
solicitar factura amazon,[solicitar factura amazon],MX - Invoice AMZ,Invoicing_Exact,Exact match,15,3,21.54,7.18,0,Review — zero-reg keyword spend
sillas oficina,[sillas oficina],MX - Office,Furniture_Exact,Exact match,75,9,20.56,2.28,0,"Multiple clicks, zero-reg keyword"
facturar amazon mexico,"""facturar amazon mexico""",MX - Invoice AMZ,Invoice_Phrase,Exact match,29,5,19.61,3.92,0,"Multiple clicks, zero-reg keyword"
bosanet,"""tienda b2b""",MX - Generic,B2B_Marketplace_Phrase,Phrase match (close variant),3,3,19.61,6.54,0,Close variant leakage on zero-reg keyword
sillas de escritorio,[sillas oficina],MX - Office,Furniture_Exact,Exact match (close variant),224,12,19.54,1.63,0,Close variant leakage on zero-reg keyword
encuentra proveedores,[proveedores para negocios],MX - Generic,Suppliers_Enterprises_Exact,Exact match (close variant),2,2,19.34,9.67,0,Close variant leakage on zero-reg keyword
mayoristas,[venta al por mayor],MX - Generic,Wholesales_Exact,Exact match (close variant),65,7,18.99,2.71,0,Close variant leakage on zero-reg keyword
como solicitar factura en amazon mexico,"""facturar amazon mexico""",MX - Invoice AMZ,Invoice_Phrase,Exact match (close variant),15,3,18.85,6.28,0,Close variant leakage on zero-reg keyword
trituradora de papel,[trituradora de documentos],MX - Product AMZ,Office_Office Organization_Distributors_Exact,Exact match (close variant),166,8,18.6,2.33,0,Close variant leakage on zero-reg keyword
